file_path,caption
./images/1.autoespar_toyota_corolla_cross_2025.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Corolla Cross Hybrid Electric 2025. A banner advertising the Toyota Corolla Cross hybrid electric vehicle, featuring a man walking next to the car in an urban setting. engine or powertrain: 1.8 Hybrid, transmission: Automatic, dealer: Autoespar S.A., campaign: Outlet 0KM - Last Units, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Campaign available while supplies last. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/10.autoespar_ganadores_cuida_tu_toyota_mama.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota. A pink and white banner with a man and woman in a car repair shop. dealer: Autoespar, campaign: Take care of your Toyota and surprise Mom - meet the winners. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: winners: Felix Elias Cuevas Chancahuaña (location: ICA) and Adolfer Coronel Gavidia (location: FIORI). Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/11.autoespar_toyota_corolla_cross_outlet_2025.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Corolla Cross Hybrid Electric 2025. A red Toyota Corolla Cross hybrid electric car is displayed in a promotional image for a 2025 model, with a couple standing beside it. The image is a banner-style advertisement for an outlet store, featuring the text ""ULTIMAS UNIDADES 2025"" and ""OUTLET 0KM."" The background shows a suburban setting with a sunset, and the Toyota logo is visible in the top right corner. engine or powertrain: 1.8 Hybrid, transmission: Automatic, dealer: Autoespar S.A., campaign: Outlet 0KM - Last Units, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Campaign available while supplies last. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/12.autoespar_toyota_corolla_cross_feliz_dia_madre.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Corolla Cross. A banner-style advertisement for Toyota's ""Mother's Day"" (Mother's Day) campaign, featuring a woman and a child embracing next to a white Toyota Corolla Cross. The image conveys warmth and gratitude, with a sunset backdrop and a message of appreciation for mothers. dealer: Autoespar, campaign: Happy Mother's Day. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/13.autoespar_toyota_yaris_cross_outlet_2025.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Yaris Cross 2025. A poster for a Toyota Yaris Cross with a man standing next to it. engine or powertrain: 1.5 FULL D- LUX, transmission: Automatic, dealer: Autoespar, campaign: Outlet 0KM - Last Units 2025, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Campaign available while supplies last. - Autoespar S.A. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/14.autoespar_toyota_land_cruiser_prado_outlet.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Land Cruiser Prado 2026. A man stands next to a Land Cruiser Prado SUV in a coastal setting, with a banner advertising ""ULTIMAS UNIDADES 2025"" and ""OUTLET 0KM"" in the background. engine or powertrain: 2.4T, transmission: Automatic, dealer: Autoespar, campaign: Outlet 0KM - Last Units 2025, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Campaign available while supplies last. - Autoespar S.A. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/15.autoespar_toyota_ya_cyber_web.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Raize, Corolla Cross, Yaris Cross Hybrid. A banner advertisement for Toyota featuring a discount offer of $4,350 on a Yaris Cross Hybrid vehicle, set against a cityscape backdrop with a group of people and a digital display. dealer: Autoespar, campaign: TOYOTA YA CYBER WEB. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Subject to terms and conditions. Reference image. discount bonus up to $4,350 en Yaris Cross Hybrid, live broadcast on TikTok this Thursday 14 de mayo de 7:00 a 8:00 p.m. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/16.autoespar_toyota_oferton_repuestos_yaris.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota Yaris 2015 - 2022. A red Toyota Yaris car is shown in a garage with a sign that says ""Big parts offer"" and a price of S/. 242. dealer: Autoespar, campaign: BIG PARTS OFFER - lubrication kit, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Prices include VAT. Reference image. Price varies by model. Campaign valid only for counter purchases and/or while supplies last throughout May. Kit includes: gallon of oil 10W30, oil filter, cabin air filter, oil drain plug gasket for S/ 242.61. quote at 971 210 520. all payment methods accepted. required quote phone number displayed after the wording 'cotiza al': 971 210 520. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/17.autoespar_toyota_nueva_rav4_maf.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota New RAV4. A banner advertisement for the Toyota Rav4, featuring a white SUV on a mountain road, with a promotion for a 0% initial payment from MAF, including financing, Toyota insurance, and maintenance. dealer: Autoespar, campaign: FINANCE IT TODAY WITH MAF - initial payment from 0%. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Monthly payment subject to MAF financing. Campaign available from May 1 to May 31, 2026. MAF TOTAL (all-inclusive vehicle loan): financing plus Toyota insurance plus maintenance. Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
./images/18.autoespar_toyota_4runner_siguiente_nivel.jpg,"AUTOESPAR automotive dealership marketing banner for Toyota 4Runner. A banner advertisement for Toyota's 4Runner SUV, featuring a couple and the vehicle, with a promotional interest rate of 6.99% and a reference TCEA of 9.67%. dealer: Autoespar, campaign: THE NEXT LEVEL IS TOYOTA, warranty message: Up to 10 years or 200,000 km. includes the conditions/legal disclaimer area at the bottom of the image, usually inside a black, white, or red horizontal rectangle with very small Spanish legal text. English translation of conditions context: Reference image. Subject to terms and conditions. Monthly payment subject to MAF financing. Campaign available from May 1 to May 31, 2026. preferred rate 6.99% (reference TCEA: 9.67%), MAF financing, Se acepta auto as trade-in payment, Toyota Life (credit tailored to you). Autoespar dealership promotional automotive advertising layout, high quality commercial banner design."
